Type,"Trope Title 

[how you want it to appear online]"
"span type=""trope"" n=""1""",Indian Queen
"span type=""trope"" n=""2""",Captivity
"span type=""trope"" n=""3""",Noble Savage
"span type=""trope"" n=""4""",Discovery
"span type=""trope"" n=""5""",Wonder
"span type=""trope"" n=""6""",Vanishing Indians
"span type=""trope"" n=""7""",Origins
"span type=""trope"" n=""8""",Girl Crusoe
"span type =""trope"" n=""9""",Jump Overboard
"span type=""trope"" n=""10""",Signs Easily Interpreted
"span type=""trope"" n=""11""",Indians as Savage
"span type=""trope"" n=""12""",No Boat Available
"span type=""trope"" n=""13""",Anti-Russian Sentiment
"span type=""trope"" n=""14""",Wild Child
"span type=""trope"" n=""15""",Lazy Indian
